age,gender,profile,store_type,period,special_event,day_of_week,hour,is_weekend,is_sales,is_holiday,total_items,nb_categories,has_shopping_list,items_alimentaire,items_vetements,items_electronique,items_maison,items_beaute,items_sport,items_librairie,shopping_time_min
21,femme,normal,supermarche,semaine,aucun,2,13,0,0,0,21,6,0,12,2,1,3,1,0,2,49.60757657779476
32,homme,normal,hypermarche,weekend,soldes_hiver,6,19,1,1,0,21,6,1,8,3,1,6,2,0,1,86.35601840949107
68,homme,normal,centre_commercial,semaine,rentree,2,11,0,0,1,21,7,0,6,2,1,5,5,1,1,105.57156536198293
65,homme,rapide,centre_commercial,weekend,aucun,5,13,1,0,0,20,5,1,10,3,0,2,3,0,2,67.27548194699833
25,femme,rapide,boutique,semaine,rentree,3,12,0,0,1,13,3,0,10,1,0,0,0,0,2,36.797194699238084
66,femme,methodique,centre_commercial,semaine,aucun,2,13,0,0,0,25,5,1,14,2,0,4,3,0,2,84.00744546994301
18,femme,rapide,hypermarche,semaine,black_friday,4,15,0,1,0,11,4,0,7,0,1,0,1,2,0,62.987012785504675
24,homme,normal,hypermarche,semaine,aucun,2,13,0,0,0,13,4,1,8,1,0,3,0,0,1,43.738793673864535
48,homme,normal,supermarche,semaine,soldes_hiver,4,16,0,1,0,25,6,1,12,4,1,0,2,3,3,66.29204889097107
35,homme,methodique,centre_commercial,weekend,aucun,6,16,1,0,0,24,6,0,14,5,2,1,1,1,0,98.22123082328345
29,femme,flaneur,boutique,semaine,rentree,2,11,0,0,1,22,5,0,15,2,0,2,2,1,0,85.55917618596351
65,homme,flaneur,centre_commercial,semaine,aucun,4,13,0,0,0,25,6,1,10,6,0,4,2,1,2,91.99634489548212
47,homme,rapide,supermarche,semaine,aucun,2,20,0,0,0,20,6,0,10,3,1,1,3,0,2,53.50133692191564
50,femme,flaneur,hypermarche,weekend,soldes_ete,6,12,1,1,0,18,5,1,12,1,0,1,3,0,1,81.56796177374667
64,femme,normal,hypermarche,semaine,aucun,2,13,0,0,0,23,6,0,12,4,1,3,2,0,1,67.36430865256791
24,femme,normal,hypermarche,semaine,soldes_hiver,1,16,0,1,0,23,6,0,16,2,2,1,1,1,0,72.14285951905507
45,femme,normal,centre_commercial,semaine,rentree,4,12,0,0,1,28,6,1,10,3,0,6,6,1,2,89.68154498509375
66,homme,flaneur,hypermarche,weekend,aucun,6,13,1,0,0,23,6,1,9,6,1,4,0,2,1,89.24525810008173
20,femme,flaneur,supermarche,semaine,aucun,4,15,0,0,0,22,7,0,16,1,1,1,1,1,1,71.78377099021631
60,femme,flaneur,boutique,semaine,aucun,4,11,0,0,0,28,7,0,9,5,3,4,1,2,4,75.07391944262217
23,homme,methodique,hypermarche,semaine,soldes_ete,0,14,0,1,0,15,7,1,7,2,2,1,1,1,1,82.67968146457349
48,femme,normal,supermarche,weekend,aucun,6,17,1,0,0,17,5,0,7,4,0,2,3,1,0,73.80207543455926
55,femme,normal,supermarche,semaine,aucun,2,19,0,0,0,15,5,0,6,3,0,4,1,1,0,53.1144329048029
32,femme,rapide,boutique,semaine,aucun,4,12,0,0,0,23,6,1,10,5,1,4,2,0,1,38.787665286485435
24,femme,flaneur,centre_commercial,weekend,aucun,5,12,1,0,0,17,6,0,8,3,0,3,1,1,1,87.59795072034989
60,homme,rapide,hypermarche,semaine,fin_annee,0,14,0,0,1,18,6,1,8,3,0,2,2,1,2,62.51158912210523
47,femme,flaneur,supermarche,semaine,aucun,1,14,0,0,0,24,6,0,12,4,1,2,3,2,0,71.84843854993039
44,homme,normal,supermarche,semaine,soldes_ete,4,11,0,1,0,19,6,1,8,1,1,2,6,1,0,58.79424785801278
34,homme,normal,supermarche,semaine,noel,4,9,0,0,1,13,5,1,7,1,1,2,0,0,2,59.361299966334926
35,femme,rapide,hypermarche,semaine,noel,0,11,0,0,1,22,7,1,12,3,2,2,1,1,1,74.08882062351559
39,homme,normal,hypermarche,semaine,aucun,2,16,0,0,0,14,6,1,9,1,1,1,1,1,0,50.036691095580224
43,femme,flaneur,hypermarche,weekend,soldes_ete,5,16,1,1,0,15,5,1,7,4,0,1,2,0,1,96.35826608158105
68,femme,rapide,centre_commercial,semaine,rentree,1,14,0,0,1,16,6,1,9,3,0,1,1,1,1,86.91082014476703
44,homme,normal,supermarche,semaine,aucun,4,15,0,0,0,15,5,0,9,3,0,1,1,0,1,32.75394630371608
57,homme,rapide,supermarche,semaine,aucun,2,10,0,0,0,16,5,0,8,1,1,4,2,0,0,52.582036750227225
41,homme,normal,supermarche,weekend,aucun,6,17,1,0,0,24,6,0,9,3,0,5,4,1,2,82.85962363556462
69,femme,rapide,supermarche,weekend,aucun,5,11,1,0,0,16,6,1,7,4,0,1,2,1,1,41.147749909178046
25,femme,normal,supermarche,weekend,aucun,6,10,1,0,0,10,4,1,5,3,1,1,0,0,0,39.169251030955046
38,homme,flaneur,hypermarche,weekend,noel,5,13,1,0,1,26,6,1,13,2,0,3,3,2,3,107.28115774451182
46,femme,normal,centre_commercial,semaine,aucun,1,9,0,0,0,20,4,0,10,5,1,4,0,0,0,75.86639393991967
60,femme,normal,centre_commercial,semaine,aucun,3,13,0,0,0,19,6,0,7,3,1,3,4,1,0,72.47029976156252
38,femme,normal,centre_commercial,weekend,soldes_ete,5,18,1,1,0,20,6,1,10,1,0,5,2,1,1,92.26305238359967
20,femme,rapide,hypermarche,semaine,aucun,3,12,0,0,0,24,6,0,9,5,2,2,5,0,1,69.73545938969701
48,homme,normal,centre_commercial,weekend,noel,6,20,1,0,1,18,5,0,9,3,0,3,2,1,0,126.2933800314299
44,femme,normal,supermarche,weekend,aucun,5,14,1,0,0,23,5,1,10,4,2,2,5,0,0,68.21614042509403
63,homme,normal,boutique,semaine,black_friday,1,20,0,1,0,11,4,1,5,0,0,1,3,2,0,44.14027599431607
44,femme,normal,supermarche,semaine,aucun,0,13,0,0,0,23,4,0,10,6,0,1,6,0,0,56.24206472440056
26,homme,normal,supermarche,semaine,soldes_ete,1,17,0,1,0,23,7,0,10,2,1,3,4,2,1,75.49844511802289
50,homme,flaneur,supermarche,semaine,paques,1,13,0,0,1,26,7,0,12,5,1,3,1,2,2,105.99739191578358
50,femme,methodique,boutique,semaine,aucun,0,16,0,0,0,23,7,1,12,3,1,3,2,1,1,56.498778936070906
43,homme,rapide,boutique,semaine,aucun,0,20,0,0,0,20,6,1,8,4,2,1,3,0,2,31.876397088919568
45,homme,normal,centre_commercial,semaine,noel,2,10,0,0,1,20,5,1,13,1,0,1,3,2,0,81.54097151370563
61,homme,normal,hypermarche,weekend,aucun,5,11,1,0,0,28,7,1,15,5,2,3,1,1,1,76.06706655167787
60,homme,rapide,hypermarche,weekend,rentree,6,11,1,0,1,14,6,0,6,3,1,1,1,0,2,78.55624605574307
48,homme,flaneur,boutique,semaine,fin_annee,2,11,0,0,1,19,7,1,9,1,2,1,1,4,1,81.74626388838777
18,homme,flaneur,hypermarche,semaine,aucun,0,14,0,0,0,17,5,1,8,0,1,3,3,2,0,61.616541492389885
37,femme,normal,boutique,semaine,aucun,3,15,0,0,0,24,6,0,11,4,0,3,3,2,1,56.15051957409911
29,femme,normal,supermarche,weekend,aucun,6,15,1,0,0,18,6,0,7,4,1,0,3,1,2,62.44087284074025
34,femme,rapide,supermarche,semaine,aucun,3,20,0,0,0,21,5,1,6,7,2,4,2,0,0,31.316450944848132
32,femme,normal,centre_commercial,semaine,paques,1,15,0,0,1,19,4,1,13,3,0,1,2,0,0,92.58389270441536
51,femme,flaneur,supermarche,semaine,noel,4,20,0,0,1,23,7,0,12,2,3,2,2,1,1,94.8208233230103
67,femme,normal,boutique,semaine,aucun,1,11,0,0,0,18,7,1,6,1,2,2,1,4,2,32.220073546282315
33,homme,normal,hypermarche,semaine,aucun,1,9,0,0,0,13,7,1,6,1,1,1,1,2,1,42.10016860888433
21,femme,normal,boutique,semaine,aucun,4,14,0,0,0,17,7,0,8,2,1,1,3,1,1,47.173468339397076
25,femme,normal,supermarche,weekend,aucun,5,11,1,0,0,27,6,1,13,5,1,3,3,0,2,67.58028558628662
51,homme,normal,centre_commercial,semaine,paques,0,11,0,0,1,27,7,1,13,4,3,1,2,2,2,98.65589802771241
63,femme,normal,hypermarche,semaine,aucun,3,11,0,0,0,18,6,0,10,2,1,3,1,0,1,55.65855579533983
42,homme,normal,hypermarche,semaine,paques,1,17,0,0,1,18,5,1,11,3,0,0,1,1,2,84.55093410477431
32,femme,flaneur,hypermarche,semaine,soldes_hiver,4,20,0,1,0,16,6,1,6,1,3,2,0,2,2,84.30755797813913
45,homme,flaneur,boutique,semaine,noel,2,12,0,0,1,14,4,0,9,3,0,1,0,1,0,71.75302577153076
